OuterLoopSize,InnerLoopSize,LastLoopSize,TotalThreads,OuterThreads,InnerThreads,Time
2,100000,10,48,2,1,1047.53
2,100000,10,48,2,12,1440.51
2,100000,10,48,2,24,8804.93
2,100000,10,48,24,1,1605.59
2,100000,10,48,24,2,1274.3
4,100000,10,48,2,1,1982.82
4,100000,10,48,2,12,5884.73
4,100000,10,48,2,24,6498.92
4,100000,10,48,24,1,5929.43
4,100000,10,48,24,2,3064.37
8,100000,10,48,2,1,3672.7
8,100000,10,48,2,12,6947.19
8,100000,10,48,2,24,21662.8
8,100000,10,48,24,1,1707.5
8,100000,10,48,24,2,6833.07
10,100000,10,48,2,1,4428.07
10,100000,10,48,2,12,13686.3
10,100000,10,48,2,24,24209.6
10,100000,10,48,24,1,5712.64
10,100000,10,48,24,2,7882.48
20,100000,10,48,2,1,8755.69
20,100000,10,48,2,12,14741.6
20,100000,10,48,2,24,40532.9
20,100000,10,48,24,1,4624.79
20,100000,10,48,24,2,5454.71
100,100000,10,48,2,1,42684.7
100,100000,10,48,2,12,51933.1
100,100000,10,48,2,24,264321
100,100000,10,48,24,1,8280.76
100,100000,10,48,24,2,12420.1
1000,100000,10,48,2,1,421584
1000,100000,10,48,2,12,434418
1000,100000,10,48,2,24,2.29589e+06
1000,100000,10,48,24,1,38426.6
1000,100000,10,48,24,2,67595
2,100000,10,48,2,1,1064.19
2,100000,10,48,2,2,715.942
2,100000,10,48,2,3,1222.61
2,100000,10,48,2,4,939.641
2,100000,10,48,2,6,903.923
2,100000,10,48,2,8,756.975
2,100000,10,48,6,1,1303.8
2,100000,10,48,6,2,850.506
2,100000,10,48,6,3,704.001
2,100000,10,48,6,4,2227.7
2,100000,10,48,6,6,4193.79
2,100000,10,48,6,8,1125.58
2,100000,10,48,12,1,1421.49
2,100000,10,48,12,2,2097.39
2,100000,10,48,12,3,1796.78
2,100000,10,48,12,4,1931.33
4,100000,10,48,2,1,1946.31
4,100000,10,48,2,2,1336.39
4,100000,10,48,2,3,1363.83
4,100000,10,48,2,4,1216.96
4,100000,10,48,2,6,2184.88
4,100000,10,48,2,8,2424.63
4,100000,10,48,6,1,1281.33
4,100000,10,48,6,2,1312.52
4,100000,10,48,6,3,2034.49
4,100000,10,48,6,4,1357.56
4,100000,10,48,6,6,2968.09
4,100000,10,48,6,8,4344.62
4,100000,10,48,12,1,1537.61
4,100000,10,48,12,2,1125.88
4,100000,10,48,12,3,1478.45
4,100000,10,48,12,4,3614.22
8,100000,10,48,2,1,3598.66
8,100000,10,48,2,2,2380.48
8,100000,10,48,2,3,1893.34
8,100000,10,48,2,4,1797.68
8,100000,10,48,2,6,2739.51
8,100000,10,48,2,8,3881.96
8,100000,10,48,6,1,2132.01
8,100000,10,48,6,2,1768.85
8,100000,10,48,6,3,2251.29
8,100000,10,48,6,4,2732.48
8,100000,10,48,6,6,5673.63
8,100000,10,48,6,8,7014.72
8,100000,10,48,12,1,1484.58
8,100000,10,48,12,2,2336.16
8,100000,10,48,12,3,4928.42
8,100000,10,48,12,4,5325.02
10,100000,10,48,2,1,4509.6
10,100000,10,48,2,2,2706.25
10,100000,10,48,2,3,2497.29
10,100000,10,48,2,4,2204.92
10,100000,10,48,2,6,3811.68
